format,family,accuracy,relative_mac_cost,relative_mac_cost_calibrated
float32,float,1.0,1.0,1.0
float16,float,1.0,0.23190789473684212,0.37848626124267676
bfloat16,float,1.0,0.15789473684210525,0.47190362241109
fp8_e4m3,float,0.99975,0.05263157894736842,0.21944879940589157
fp8_e5m2,float,0.8985,0.047697368421052634,0.2629651786451027
float_e8m2,float_mantissa_sweep,0.8985,0.06743421052631579,0.41517451934978133
float_e8m3,float_mantissa_sweep,0.9975,0.07894736842105263,0.42239458701212973
float_e8m4,float_mantissa_sweep,1.0,0.09375,0.43167753114943475
float_e8m5,float_mantissa_sweep,1.0,0.1118421052631579,0.4430233517616965
float_e8m6,float_mantissa_sweep,1.0,0.13322368421052633,0.4564320488489149
float_e8m8,float_mantissa_sweep,1.0,0.18585526315789475,0.4894380724482218
float_e8m10,float_mantissa_sweep,1.0,0.25164473684210525,0.5306956019473554
float_e8m12,float_mantissa_sweep,1.0,0.3305921052631579,0.5802046373463157
float_e8m16,float_mantissa_sweep,1.0,0.5279605263157895,0.7039772258437165
float_e8m20,float_mantissa_sweep,1.0,0.7779605263157895,0.8607558379404241
fixed_q6,fixed,0.652,0.06085526315789474,0.038163214786698575
fixed_q8,fixed,0.96175,0.1069078947368421,0.06704348543609209
fixed_q10,fixed,1.0,0.16611842105263158,0.10417526198531232
fixed_q12,fixed,1.0,0.23848684210526316,0.1495585444343593
fixed_q14,fixed,1.0,0.32401315789473684,0.20319333278323295
fixed_q16,fixed,1.0,0.42269736842105265,0.26507962703193333
fixed_q20,fixed,1.0,0.6595394736842105,0.41360673322881425
fixed_q24,fixed,1.0,0.9490131578947368,0.5951398630250021
